author;prize;short;long;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Сергей Лебеденко;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;10;
Евгений Кремчуков;0;2;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;10;
София Синицкая;0;2;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;10;10;
Виктор Ремезов;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;
Коллектив Государственного музея истории российской литературы имени В. И. Даля;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;
Иван Родионов;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;10;
Оксана Васякина;0;2;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;10;
Институт прикладной астрономии Российской академии наук;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;
Дина Озерова;1;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;
Павел Крусанов;0;1;0;;1;0;0;0;5;0;1;0;0;0;0;1;0;0;0;1;0;0;;1;1;1;1;6;6;7;7;7;7;7;8;8;8;8;9;9;9;
Сергей Носов;0;1;0;;0;0;0;1;0;0;5;0;0;1;0;0;1;0;0;1;0;0;;0;0;0;1;1;1;6;6;6;7;7;7;8;8;8;9;9;9;
Самсонов Сергей;0;1;0;;0;0;0;0;0;0;1;0;0;1;0;5;0;1;0;1;0;0;;0;0;0;0;0;0;1;1;1;2;2;7;7;8;8;9;9;9;
Юрий Арабов;0;1;0;;0;1;0;1;0;5;0;0;1;0;0;0;0;0;0;0;0;0;;0;1;1;2;2;7;7;7;8;8;8;8;8;8;8;8;8;8;
Лена Элтанг;0;1;0;;0;1;0;1;0;0;5;0;0;0;0;0;0;0;0;0;1;0;;0;1;1;2;2;2;7;7;7;7;7;7;7;7;7;7;8;8;
Маргарита Хемлин;0;1;0;;0;0;5;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;;0;0;5;5;6;7;7;8;8;8;8;8;8;8;8;8;8;8;
Наталья Громова;0;1;0;;0;0;0;0;1;0;0;0;1;0;0;0;1;0;5;0;0;0;;0;0;0;0;1;1;1;1;2;2;2;2;3;3;8;8;8;8;
Сергей Кузнецов;0;1;0;;0;0;0;0;0;5;0;0;0;0;1;0;1;1;0;0;0;0;;0;0;0;0;0;5;5;5;5;5;6;6;7;8;8;8;8;8;
Филипенко Саша;0;1;0;;0;0;0;0;0;0;0;0;0;1;5;0;0;0;1;0;1;0;;0;0;0;0;0;0;0;0;0;1;6;6;6;6;7;7;8;8;
Анатолий Королев;0;1;0;;5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;5;5;6;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;
